"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\app.dart", "Dart", 66, 3, 6, 75
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\bluetooth.dart", "Dart", 124, 7, 17, 148
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\constants\colors.dart", "Dart", 29, 0, 10, 39
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\constants\date_time_constants.dart", "Dart", 8, 0, 1, 9
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\constants\enum.dart", "Dart", 1, 1, 0, 2
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\constants\preferences.dart", "Dart", 3, 0, 1, 4
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\constants\text_styles.dart", "Dart", 46, 5, 2, 53
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\di.dart", "Dart", 81, 0, 8, 89
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\extensions\bottom_sheet_widget.dart", "Dart", 14, 0, 2, 16
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\extensions\date_time_helper.dart", "Dart", 41, 18, 10, 69
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\extensions\dialog_build_context.dart", "Dart", 11, 0, 3, 14
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\extensions\snack_bar_build_context.dart", "Dart", 65, 8, 10, 83
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\blue_title_text.dart", "Dart", 17, 0, 2, 19
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\bottom_sheet_container.dart", "Dart", 49, 0, 6, 55
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\button.dart", "Dart", 56, 10, 6, 72
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\buttons\gradient_button.dart", "Dart", 59, 0, 2, 61
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\buttons\title_button.dart", "Dart", 16, 0, 2, 18
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\custom_dialog.dart", "Dart", 16, 0, 2, 18
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\drop_down.dart", "Dart", 34, 0, 2, 36
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\error_occurred_widget.dart", "Dart", 84, 0, 4, 88
"c:\Users\Adnan\Storage_guard\storage_guard\lib\app\widgets\link_text.dart", "Dart", 25, 0, 3, 28
